timestamp,track_id,object_class,range_m,azimuth_deg,elevation_deg,ambient_temp_c,surface_temp_c,thermal_contrast_c,heat_signature_area_m2,emissivity_estimate,image_x_px,image_y_px,bbox_width_px,bbox_height_px,noise_equivalent_temp_diff_mk,occlusion,confidence
2026-06-29T12:00:16,3010,bicycle,56.77,-127.52,-4.94,22.08,19.08,-3.0,0.305,0.726,149,270,4,4,55.2,partial,0.41
2026-06-29T12:00:16,3005,person,40.26,30.42,19.9,22.08,33.67,11.59,0.625,0.955,598,199,5,7,54.4,none,0.95
2026-06-29T12:00:16,3003,person,66.97,52.15,-6.83,22.08,31.19,9.11,0.5,0.962,660,275,4,6,88.6,none,0.66
2026-06-29T12:00:16,3011,unknown,82.31,-143.86,5.13,22.08,23.17,1.09,1.053,0.76,102,241,4,4,48.7,none,0.51
2026-06-29T12:00:16,3002,vehicle,45.22,-121.88,7.75,22.08,46.72,24.64,6.916,0.794,165,233,53,46,58.8,none,0.86
2026-06-29T12:00:16,3013,person,85.41,58.17,6.3,22.08,28.94,6.86,0.833,0.969,677,238,4,4,52.9,heavy,0.43
2026-06-29T12:00:17,3006,person,71.81,-64.58,9.36,22.06,30.05,7.99,1.072,0.967,328,229,5,6,64.5,none,0.74
2026-06-29T12:00:17,3002,person,67.05,99.72,13.68,22.06,30.68,8.62,1.14,0.957,795,217,5,8,59.0,partial,0.57
2026-06-29T12:00:18,3013,unknown,30.02,83.73,21.03,22.0,22.32,0.32,0.413,0.926,750,196,4,4,65.9,partial,0.46
2026-06-29T12:00:18,3015,bicycle,8.65,142.72,21.26,22.0,23.02,1.02,0.677,0.771,917,195,27,35,79.1,none,0.51
2026-06-29T12:00:18,3005,unknown,42.54,65.94,-3.94,22.0,19.12,-2.88,2.935,0.864,699,267,24,26,51.9,none,0.5
2026-06-29T12:00:18,3009,person,27.82,67.71,16.76,22.0,35.66,13.66,0.831,0.943,704,208,10,11,45.1,none,0.97
2026-06-29T12:00:18,3007,vehicle,32.24,-118.08,-6.11,22.0,43.07,21.07,7.361,0.864,176,273,79,127,81.3,none,0.95
2026-06-29T12:00:18,3014,vehicle,62.96,-27.81,13.61,22.0,49.59,27.59,2.754,0.856,432,217,15,22,89.0,partial,0.74
2026-06-29T12:00:19,3009,person,14.6,-42.25,16.31,22.12,33.94,11.82,0.264,0.959,391,209,6,4,49.2,partial,0.85
2026-06-29T12:00:19,3004,person,22.18,-111.82,0.11,22.12,32.87,10.75,0.807,0.954,193,255,12,16,81.8,heavy,0.64
2026-06-29T12:00:20,3002,animal,53.81,157.36,1.31,21.83,30.83,9.0,0.491,0.955,959,252,4,4,74.1,heavy,0.56
2026-06-29T12:00:20,3015,vehicle,35.88,-75.4,24.34,21.83,43.51,21.68,1.622,0.835,297,186,15,25,47.1,partial,0.84
2026-06-29T12:00:20,3010,person,56.99,49.19,-4.73,21.83,30.9,9.07,0.912,0.946,651,269,5,4,48.8,heavy,0.46
2026-06-29T12:00:20,3012,person,55.64,-113.17,13.06,21.83,31.75,9.92,0.897,0.973,190,218,5,7,88.9,none,0.76
2026-06-29T12:00:20,3009,person,87.73,-28.31,8.43,21.83,28.36,6.53,0.816,0.97,431,232,4,4,64.2,none,0.66
2026-06-29T12:00:20,3007,person,11.84,25.14,7.34,21.83,33.84,12.01,0.442,0.938,583,235,13,11,54.6,none,0.95
2026-06-29T12:00:20,3013,person,68.9,73.54,11.94,21.83,34.52,12.69,0.447,0.942,721,222,4,6,57.8,partial,0.64
2026-06-29T12:00:21,3014,vehicle,75.31,164.29,-3.42,22.27,45.58,23.31,4.907,0.872,979,265,22,36,82.3,none,0.89
2026-06-29T12:00:21,3005,unknown,5.26,-56.76,-6.56,22.27,27.7,5.43,0.784,0.798,350,274,52,64,77.9,partial,0.6
2026-06-29T12:00:21,3001,vehicle,7.43,-97.13,22.49,22.27,56.15,33.88,6.71,0.905,235,192,260,220,60.4,none,0.95
2026-06-29T12:00:22,3007,drone,76.58,146.2,13.99,22.2,31.16,8.96,0.282,0.758,927,216,4,4,69.6,none,0.75
2026-06-29T12:00:22,3015,animal,20.29,92.32,12.43,22.2,32.13,9.93,0.678,0.94,774,220,11,17,59.6,none,0.88
2026-06-29T12:00:22,3001,animal,63.14,-10.87,-5.36,22.2,25.63,3.43,0.713,0.98,481,271,4,4,49.1,none,0.63
2026-06-29T12:00:22,3005,person,61.82,-176.63,7.03,22.2,32.99,10.79,0.879,0.981,9,236,4,5,45.6,partial,0.67
2026-06-29T12:00:22,3004,person,21.62,145.93,24.02,22.2,32.1,9.9,0.412,0.983,927,187,6,5,85.8,none,0.82
2026-06-29T12:00:22,3008,unknown,78.99,114.27,15.53,22.2,31.08,8.88,2.328,0.613,837,211,10,14,46.2,none,0.65
2026-06-29T12:00:23,3009,person,23.35,111.44,16.35,22.31,33.31,11.0,1.119,0.975,828,209,16,28,38.2,none,0.81
2026-06-29T12:00:23,3011,unknown,26.93,137.83,-6.41,22.31,31.11,8.8,0.964,0.836,904,274,12,15,63.3,none,0.85
2026-06-29T12:00:23,3003,person,47.6,-48.86,-6.71,22.31,30.4,8.09,1.064,0.977,373,275,7,7,79.4,partial,0.74
2026-06-29T12:00:24,3005,animal,65.99,74.28,7.14,21.98,34.47,12.49,0.59,0.921,723,235,4,4,45.6,none,0.75
2026-06-29T12:00:24,3014,animal,17.29,147.99,3.37,21.98,31.84,9.86,0.457,0.987,932,246,9,7,49.0,none,0.87
2026-06-29T12:00:24,3003,drone,84.74,31.44,5.75,21.98,36.52,14.54,0.128,0.812,601,239,4,4,67.1,partial,0.68
2026-06-29T12:00:24,3015,person,44.34,71.26,11.04,21.98,34.68,12.7,0.603,0.974,714,224,4,4,72.2,heavy,0.58
2026-06-29T12:00:24,3006,unknown,19.33,-106.56,5.72,21.98,45.95,23.97,0.473,0.73,208,239,8,11,45.2,heavy,0.61
2026-06-29T12:00:24,3013,vehicle,67.93,160.61,17.94,21.98,37.57,15.59,7.917,0.933,968,204,40,64,57.4,partial,0.69
2026-06-29T12:00:24,3012,bicycle,76.76,34.5,-5.29,21.98,18.98,-3.0,0.737,0.806,610,271,4,4,66.0,none,0.51
2026-06-29T12:00:24,3010,person,31.59,-16.35,22.0,21.98,31.91,9.93,0.362,0.962,465,193,4,6,64.5,none,0.76
2026-06-29T12:00:24,3001,vehicle,30.08,-137.83,-1.96,21.98,47.59,25.61,4.166,0.931,119,261,48,69,46.3,none,0.86
2026-06-29T12:00:25,3001,vehicle,32.28,-98.64,24.36,22.29,42.32,20.03,2.758,0.868,231,186,29,38,88.7,none,0.85
2026-06-29T12:00:25,3003,vehicle,43.59,-82.33,11.55,22.29,40.86,18.57,4.704,0.921,277,223,37,63,57.2,none,0.88
2026-06-29T12:00:25,3006,person,71.55,-15.82,23.17,22.29,31.16,8.87,0.69,0.96,467,190,4,5,54.0,none,0.79
2026-06-29T12:00:25,3015,vehicle,10.81,21.73,11.54,22.29,25.01,2.72,5.754,0.886,573,223,186,145,46.8,partial,0.47
2026-06-29T12:00:26,3007,drone,1.01,11.34,19.34,21.9,26.06,4.16,0.203,0.765,544,200,70,93,88.4,none,0.7
2026-06-29T12:00:26,3002,unknown,63.01,25.99,6.74,21.9,19.82,-2.08,1.828,0.817,585,236,10,16,53.2,partial,0.35
2026-06-29T12:00:26,3009,person,13.95,166.44,8.97,21.9,35.81,13.91,0.93,0.935,985,230,23,39,66.8,none,0.97
2026-06-29T12:00:26,3012,bicycle,73.25,-74.14,2.52,21.9,20.33,-1.57,1.327,0.718,301,248,6,5,81.2,heavy,0.35
2026-06-29T12:00:26,3006,bicycle,72.95,157.76,12.52,21.9,24.72,2.82,1.291,0.775,960,220,6,7,85.0,none,0.59
2026-06-29T12:00:26,3014,bicycle,75.42,87.49,7.72,21.9,19.47,-2.43,1.225,0.762,760,234,5,7,82.8,none,0.55
2026-06-29T12:00:27,3013,person,84.03,-85.25,13.39,22.03,30.35,8.32,0.389,0.951,269,217,4,5,68.2,none,0.71
2026-06-29T12:00:27,3007,person,46.34,78.23,21.56,22.03,34.09,12.06,0.654,0.965,734,194,4,4,42.7,none,0.83
2026-06-29T12:00:27,3012,unknown,23.87,83.16,-6.69,22.03,30.95,8.92,0.66,0.978,748,275,9,12,50.7,partial,0.61
2026-06-29T12:00:27,3010,drone,73.91,149.68,-0.12,22.03,29.86,7.83,0.11,0.86,937,256,4,4,60.0,none,0.76
2026-06-29T12:00:27,3014,person,45.43,58.01,-7.36,22.03,31.01,8.98,0.351,0.952,677,276,4,5,62.4,partial,0.64
2026-06-29T12:00:27,3001,unknown,73.77,158.13,8.11,22.03,29.0,6.97,0.391,0.712,961,232,4,6,69.5,none,0.63
2026-06-29T12:00:27,3004,drone,73.73,46.49,1.48,22.03,45.43,23.4,0.213,0.707,644,251,4,4,62.2,partial,0.77
2026-06-29T12:00:27,3005,person,12.75,-80.13,12.84,22.03,33.23,11.2,0.8,0.962,284,219,21,34,59.6,none,0.8
2026-06-29T12:00:28,3011,unknown,3.38,-23.53,-3.85,22.24,33.27,11.03,1.773,0.75,445,266,183,145,62.3,partial,0.78
2026-06-29T12:00:28,3009,unknown,66.6,114.87,22.66,22.24,19.24,-3.0,0.627,0.607,838,191,4,4,63.3,partial,0.35
2026-06-29T12:00:28,3006,vehicle,71.78,37.0,10.27,22.24,40.81,18.57,6.477,0.949,617,226,31,32,73.9,none,0.85
2026-06-29T12:00:28,3015,unknown,48.04,-5.82,-7.77,22.24,34.08,11.84,0.452,0.825,495,278,4,6,88.2,heavy,0.69
2026-06-29T12:00:28,3013,drone,21.31,-24.65,-1.34,22.24,33.06,10.82,0.325,0.771,441,259,5,8,45.6,none,0.82
2026-06-29T12:00:28,3008,unknown,5.35,113.12,5.01,22.24,31.61,9.37,0.425,0.691,833,241,27,35,59.5,none,0.89
2026-06-29T12:00:28,3005,unknown,36.17,-108.13,8.52,22.24,27.91,5.67,0.175,0.744,204,231,4,6,37.8,none,0.66
2026-06-29T12:00:29,3014,drone,8.75,18.86,2.65,22.2,33.42,11.22,0.315,0.822,565,248,12,9,43.3,heavy,0.65
2026-06-29T12:00:29,3004,drone,78.11,13.76,2.55,22.2,47.72,25.52,0.322,0.737,551,248,4,4,43.4,none,0.75
2026-06-29T12:00:29,3003,person,78.42,-25.65,14.23,22.2,29.45,7.25,1.153,0.957,439,215,5,7,69.1,none,0.69
2026-06-29T12:00:29,3011,person,15.53,97.32,24.65,22.2,33.59,11.39,0.758,0.944,788,185,17,27,39.6,none,0.91
2026-06-29T12:00:29,3009,unknown,75.57,-53.8,-1.42,22.2,27.08,4.88,1.629,0.791,358,260,7,12,63.7,none,0.67
2026-06-29T12:00:29,3002,vehicle,10.35,61.52,14.68,22.2,38.78,16.58,5.506,0.904,686,214,186,190,88.8,none,0.84
2026-06-29T12:00:29,3013,person,46.69,125.63,17.47,22.2,34.12,11.92,0.754,0.98,869,206,5,8,67.3,none,0.87
2026-06-29T12:00:30,3003,drone,6.69,146.58,11.83,22.11,36.4,14.29,0.298,0.813,928,222,15,21,51.1,none,0.95
2026-06-29T12:00:30,3011,vehicle,43.31,140.88,8.86,22.11,40.19,18.08,6.388,0.919,912,230,51,88,39.2,none,0.88
2026-06-29T12:00:30,3015,person,18.37,172.59,11.27,22.11,32.18,10.07,0.385,0.957,1002,223,7,9,55.1,none,0.85
2026-06-29T12:00:30,3008,animal,68.65,109.51,-6.17,22.11,28.04,5.93,0.621,0.946,823,273,4,4,70.9,none,0.68
2026-06-29T12:00:30,3002,unknown,78.93,-42.13,-3.38,22.11,19.11,-3.0,2.374,0.684,392,265,10,7,70.0,partial,0.35
2026-06-29T12:00:30,3004,unknown,58.02,-82.41,10.36,22.11,26.42,4.31,2.809,0.878,277,226,16,12,74.7,none,0.74
2026-06-29T12:00:30,3001,person,87.81,-155.66,0.12,22.11,29.3,7.19,0.935,0.973,69,255,4,5,44.7,none,0.73
2026-06-29T12:00:31,3012,animal,28.25,-94.69,-2.64,21.99,33.28,11.29,0.178,0.965,242,263,4,4,88.6,none,0.89
2026-06-29T12:00:31,3001,person,9.0,-134.73,-3.95,21.99,32.73,10.74,0.345,0.947,128,267,13,18,77.0,none,0.89
2026-06-29T12:00:32,3004,animal,65.22,114.28,16.1,21.88,33.24,11.36,0.462,0.924,837,210,4,4,52.3,partial,0.75
2026-06-29T12:00:32,3006,drone,1.18,-75.04,5.63,21.88,39.03,17.15,0.272,0.792,298,239,80,104,40.8,none,0.91
2026-06-29T12:00:32,3011,vehicle,35.48,107.23,2.97,21.88,48.14,26.26,1.833,0.81,817,247,18,17,52.3,partial,0.78
2026-06-29T12:00:32,3015,vehicle,70.0,-176.1,20.31,21.88,30.93,9.05,5.463,0.909,11,198,27,42,78.6,none,0.67
2026-06-29T12:00:33,3003,bicycle,76.98,-67.06,14.65,21.85,22.64,0.79,0.763,0.783,321,214,4,4,88.4,none,0.56
2026-06-29T12:00:33,3009,vehicle,27.92,92.67,-7.08,21.85,44.44,22.59,2.099,0.923,775,276,26,45,76.6,none,0.95
2026-06-29T12:00:33,3007,vehicle,77.01,64.15,2.61,21.85,45.52,23.67,3.254,0.854,694,248,14,11,68.3,none,0.83
2026-06-29T12:00:33,3012,person,53.62,-41.38,-4.6,21.85,34.27,12.42,0.428,0.955,394,269,4,4,43.3,partial,0.84
2026-06-29T12:00:34,3004,bicycle,28.22,-97.01,-1.84,22.17,24.72,2.55,0.838,0.815,236,261,10,13,72.2,none,0.67
2026-06-29T12:00:34,3003,person,18.27,163.09,10.38,22.17,33.35,11.18,1.097,0.976,975,226,21,26,76.2,partial,0.69
2026-06-29T12:00:34,3009,person,9.75,38.39,17.21,22.17,32.43,10.26,0.608,0.963,621,207,21,27,40.0,heavy,0.6
2026-06-29T12:00:34,3015,person,31.1,-76.07,16.27,22.17,31.49,9.32,0.601,0.949,295,209,6,8,61.2,none,0.78
2026-06-29T12:00:34,3006,unknown,66.15,67.61,-3.64,22.17,21.28,-0.89,0.187,0.949,704,266,4,4,38.4,none,0.53
2026-06-29T12:00:35,3014,person,17.94,-90.59,0.75,21.91,32.44,10.53,0.334,0.951,254,253,6,5,41.1,none,0.91
2026-06-29T12:00:35,3011,person,72.44,-130.74,6.79,21.91,31.23,9.32,1.103,0.933,140,236,5,5,35.3,none,0.73
2026-06-29T12:00:35,3006,unknown,22.55,-141.05,4.94,21.91,29.41,7.5,2.584,0.851,110,241,40,36,35.5,none,0.84
2026-06-29T12:00:35,3003,person,42.48,135.31,-7.36,21.91,33.31,11.4,0.384,0.972,896,276,4,7,80.3,none,0.9
2026-06-29T12:00:35,3004,animal,84.2,166.37,7.07,21.91,29.49,7.58,0.251,0.985,985,235,4,5,85.6,partial,0.53
2026-06-29T12:00:35,3005,person,4.48,-28.37,-1.48,21.91,37.32,15.41,0.816,0.978,431,260,63,66,83.1,none,0.85
2026-06-29T12:00:35,3013,drone,52.44,1.51,24.82,21.91,25.09,3.18,0.211,0.747,516,185,4,4,45.2,none,0.63
2026-06-29T12:00:35,3015,person,3.56,60.46,-6.93,21.91,29.99,8.08,1.125,0.933,683,275,110,103,75.3,none,0.75
2026-06-29T12:00:36,3013,person,14.93,-155.3,5.47,21.97,33.35,11.38,1.066,0.936,70,240,24,24,58.5,none,0.85
2026-06-29T12:00:36,3008,drone,57.94,9.99,-0.82,21.97,37.49,15.52,0.343,0.714,540,258,4,5,80.9,none,0.93
2026-06-29T12:00:36,3004,person,82.02,44.75,5.58,21.97,29.97,8.0,0.641,0.942,639,240,4,4,72.9,none,0.76
2026-06-29T12:00:36,3009,person,48.72,-64.33,-3.43,21.97,33.0,11.03,0.669,0.978,329,265,4,4,75.8,heavy,0.63
2026-06-29T12:00:36,3003,person,76.54,129.86,1.82,21.97,33.03,11.06,0.804,0.95,881,250,4,4,41.6,none,0.71
2026-06-29T12:00:36,3001,unknown,61.47,-131.07,-4.44,21.97,18.97,-3.0,1.888,0.787,139,268,10,7,75.9,none,0.42
2026-06-29T12:00:36,3006,person,3.13,-126.94,23.06,21.97,32.34,10.37,0.355,0.938,150,190,39,40,37.3,none,0.8
2026-06-29T12:00:36,3014,vehicle,75.8,-53.3,24.33,21.97,38.23,16.26,2.865,0.898,360,186,13,18,84.3,partial,0.66
2026-06-29T12:00:36,3015,vehicle,69.47,170.29,18.64,21.97,47.0,25.03,2.117,0.766,996,202,10,7,49.3,none,0.88
