timestamp,mission_elapsed_s,track_id,target_class,x_m,y_m,z_m,range_m,azimuth_deg,elevation_deg,bbox_length_m,bbox_width_m,bbox_height_m,point_count,mean_intensity,return_strength,surface_slope_deg,regolith_dust_backscatter,shadow_fraction,roughness_index,hazard_score,confidence
2026-06-29T12:00:02,2,5107,boulder,6.3,107.33,-5.08,107.63,86.64,-2.71,2.93,0.75,1.18,17,57.1,0.259,43.9,0.281,0.369,0.359,0.721,0.37
2026-06-29T12:00:02,2,5116,crater_floor,-76.73,-138.09,12.43,158.46,-119.06,4.5,4.02,9.99,0.39,156,45.6,0.191,0,0.281,0.083,0.277,0.122,0.49
2026-06-29T12:00:02,2,5120,regolith_mound,28.7,-12.87,-2.16,31.53,-24.16,-3.93,0.7,2.3,0.28,75,51.8,0.145,7.5,0.281,0.225,0.208,0.148,0.41
2026-06-29T12:00:02,2,5114,crater_floor,-56.17,42.07,39.32,80.44,143.17,29.26,20.19,10.01,0.12,1932,105.6,0.435,8.4,0.281,0.323,0.253,0.161,0.99
2026-06-29T12:00:03,3,5105,lander_leg,3.77,-8.36,1.31,9.26,-65.73,8.11,0.59,0.38,1.53,60,68.0,0.251,2.1,0.349,0.398,0.65,0.34,0.38
2026-06-29T12:00:03,3,5101,lander_leg,-32.55,10.42,4.34,34.45,162.24,7.24,0.26,0.35,2.9,3,52.9,0.301,1.6,0.349,0.255,0.548,0.385,0.37
2026-06-29T12:00:03,3,5125,boulder,30.12,20.09,9.71,37.48,33.7,15.02,1.89,2.15,2.0,97,89.6,0.391,5.3,0.349,0.258,0.222,0.423,0.46
2026-06-29T12:00:03,3,5111,small_rock,-43.96,0.17,6.49,44.44,179.77,8.39,0.26,0.27,0.28,3,107.0,0.464,2.5,0.349,0.287,0.448,0.194,0.4
2026-06-29T12:00:03,3,5122,boulder,23.1,-76.76,35.15,87.53,-73.25,23.67,1.77,2.33,1.03,9,63.4,0.266,5.6,0.349,0.456,0.136,0.335,0.34
2026-06-29T12:00:03,3,5121,shadow_edge,0.71,-2.31,-0.28,2.43,-72.99,-6.69,5.75,1.01,0.19,5000,95.3,0.321,14.7,0.349,0.528,0.063,0.148,0.99
2026-06-29T12:00:03,3,5103,equipment,124.79,-9.81,-36.67,130.43,-4.49,-16.33,1.45,1.82,0.99,19,28.8,0.129,15.4,0.349,0.227,0.144,0.232,0.35
2026-06-29T12:00:03,3,5118,small_rock,145.64,47.94,15.88,154.14,18.22,5.91,0.47,0.41,0.2,3,8.2,0.079,20.7,0.349,0.358,0.388,0.309,0.31
2026-06-29T12:00:03,3,5104,lander_leg,0.86,-4.69,3.19,5.74,-79.57,33.79,0.34,0.49,2.87,56,71.5,0.315,0,0.349,0.181,0.58,0.382,0.42
2026-06-29T12:00:03,3,5123,boulder,-41.51,-71.97,2.01,83.11,-119.98,1.39,3.12,0.52,1.82,24,77.6,0.305,7.2,0.349,0.091,0.186,0.415,0.41
2026-06-29T12:00:03,3,5116,crater_rim,105.74,-42.92,59.74,128.81,-22.09,27.63,15.73,4.74,1.66,351,18.5,0.074,0,0.349,0.458,0.534,0.471,0.52
2026-06-29T12:00:03,3,5124,small_rock,24.89,-37.85,16.77,48.31,-56.67,20.32,0.32,0.4,0.06,6,88.2,0.299,13.5,0.349,0.323,0.461,0.27,0.36
2026-06-29T12:00:04,4,5118,crater_rim,57.12,-27.65,11.08,64.42,-25.83,9.9,4.86,2.89,1.03,166,43.6,0.165,16.9,0.321,0.219,0.299,0.48,0.46
2026-06-29T12:00:04,4,5104,small_rock,-103.88,-4.09,-16.44,105.25,-177.75,-8.98,0.28,0.17,0.35,3,43.3,0.207,7.4,0.321,0.084,0.6,0.289,0.38
2026-06-29T12:00:04,4,5120,small_rock,-69.79,44.4,-14.88,84.05,147.54,-10.2,0.33,0.24,0.34,22,96.4,0.361,19.6,0.321,0.105,0.407,0.317,0.43
2026-06-29T12:00:04,4,5123,crater_rim,2.87,11.46,8.15,14.35,75.96,34.59,6.74,2.77,1.08,1777,53.1,0.186,6.3,0.321,0.354,0.165,0.354,0.99
2026-06-29T12:00:04,4,5108,unknown,0.27,11.94,7.56,14.13,88.72,32.33,0.12,2.3,1.27,53,109.2,0.444,0,0.321,0.214,0.131,0.125,0.45
2026-06-29T12:00:04,4,5106,boulder,0.73,0.49,-0.26,0.92,33.7,-16.22,1.74,1.54,1.99,5000,169.0,0.705,20.2,0.321,0.334,0.505,0.638,0.99
2026-06-29T12:00:04,4,5102,shadow_edge,-133.08,28.68,17.58,137.27,167.84,7.36,6.6,0.66,0.18,31,110.5,0.439,3.8,0.321,0.334,0.04,0.055,0.42
2026-06-29T12:00:04,4,5114,crater_floor,-132.87,-68.78,24.64,151.63,-152.63,9.35,4.39,8.33,0.14,156,43.9,0.141,13.9,0.321,0.023,0.155,0.171,0.48
2026-06-29T12:00:05,5,5111,rover_track,0.61,-12.55,6.39,14.09,-87.2,26.96,3.54,0.83,0.07,310,91.9,0.392,6.3,0.195,0.083,0.349,0.176,0.66
2026-06-29T12:00:05,5,5114,rover_track,37.51,-51.28,36.02,73.04,-53.81,29.55,7.47,0.23,0.04,23,83.9,0.329,30.0,0.195,0.155,0.366,0.364,0.44
2026-06-29T12:00:05,5,5122,unknown,22.99,12.57,-2.09,26.28,28.67,-4.56,4.02,0.82,0.16,160,82.1,0.259,32.2,0.195,0.14,0.288,0.361,0.52
2026-06-29T12:00:05,5,5105,small_rock,0.53,7.23,-1.96,7.51,85.8,-15.1,0.3,0.4,0.12,33,87.3,0.287,30.0,0.195,0.326,0.053,0.26,0.41
2026-06-29T12:00:05,5,5118,boulder,-24.36,-24.36,-5.75,34.93,-135.01,-9.48,1.12,2.98,1.45,84,108.9,0.472,26.5,0.195,0.093,0.105,0.514,0.52
2026-06-29T12:00:05,5,5120,small_rock,87.51,-27.01,8.03,91.93,-17.16,5.01,0.13,0.23,0.28,3,73.8,0.293,15.2,0.195,0.235,0.183,0.2,0.41
2026-06-29T12:00:05,5,5123,rover_track,10.57,-16.07,-3.99,19.64,-56.65,-11.72,1.72,0.51,0.03,42,123.7,0.435,27.2,0.195,0.099,0.436,0.366,0.49
2026-06-29T12:00:05,5,5107,small_rock,104.19,-48.37,39.38,121.43,-24.9,18.92,0.43,0.41,0.08,3,99.1,0.418,21.4,0.195,0.294,0.289,0.273,0.43
2026-06-29T12:00:05,5,5112,boulder,70.34,114.07,55.0,144.86,58.34,22.31,1.74,0.56,1.93,4,70.3,0.207,0,0.195,0.149,0.286,0.401,0.4
2026-06-29T12:00:06,6,5124,crater_rim,60.67,108.46,46.62,132.73,60.78,20.56,12.61,2.49,0.72,165,80.2,0.284,11.7,0.183,0.5,0.267,0.41,0.48
2026-06-29T12:00:06,6,5107,crater_floor,-93.96,-61.39,40.44,119.3,-146.84,19.81,13.27,18.03,0.1,1404,0,0,10.0,0.183,0.686,0.204,0.156,0.99
2026-06-29T12:00:06,6,5125,small_rock,-40.81,127.38,17.54,134.9,107.76,7.47,0.42,0.3,0.3,3,49.9,0.211,0,0.183,0.198,0.37,0.148,0.4
2026-06-29T12:00:06,6,5113,crater_floor,26.15,56.54,12.87,63.61,65.17,11.68,12.7,12.59,0.22,2219,73.3,0.186,18.5,0.183,0.483,0.441,0.313,0.99
2026-06-29T12:00:06,6,5123,equipment,71.99,38.75,-11.93,82.62,28.29,-8.3,0.81,0.55,0.36,3,38.4,0.168,17.4,0.183,0.477,0.064,0.18,0.35
2026-06-29T12:00:06,6,5118,shadow_edge,-108.37,-41.94,17.35,117.49,-158.84,8.49,5.26,1.51,0.1,64,65.6,0.286,8.8,0.183,0.285,0.146,0.126,0.44
2026-06-29T12:00:06,6,5120,rover_track,-7.99,47.78,4.44,48.64,99.5,5.23,7.08,0.45,0.02,87,75.1,0.314,36.6,0.183,0.378,0.328,0.4,0.45
2026-06-29T12:00:06,6,5116,small_rock,10.31,-121.0,57.81,134.49,-85.13,25.46,0.48,0.19,0.23,3,54.8,0.239,25.6,0.183,0.257,0.534,0.4,0.4
2026-06-29T12:00:06,6,5111,small_rock,69.52,57.62,10.21,90.87,39.65,6.45,0.47,0.44,0.05,3,97.9,0.368,9.2,0.183,0.242,0.019,0.081,0.43
2026-06-29T12:00:06,6,5121,crater_rim,-48.46,-32.9,34.57,68.01,-145.83,30.55,17.33,3.43,1.58,761,73.4,0.33,16.5,0.183,0.107,0.217,0.483,0.94
2026-06-29T12:00:06,6,5110,crater_rim,2.53,-2.51,1.58,3.9,-44.86,23.85,6.53,4.68,2.14,5000,66.0,0.262,24.9,0.183,0.24,0.31,0.616,0.99
2026-06-29T12:00:07,7,5119,small_rock,-47.86,47.48,14.03,68.86,135.22,11.75,0.18,0.22,0.08,3,104.9,0.442,16.4,0.318,0.35,0.172,0.193,0.4
2026-06-29T12:00:07,7,5124,crater_rim,44.24,147.09,-37.94,158.22,73.26,-13.87,15.15,4.25,2.13,216,0,0.013,25.9,0.318,0.22,0.127,0.559,0.46
2026-06-29T12:00:07,7,5106,regolith_mound,32.99,26.03,8.64,42.9,38.27,11.61,2.73,1.31,0.37,69,10.6,0.022,18.4,0.318,0.404,0.506,0.344,0.34
2026-06-29T12:00:07,7,5118,crater_rim,-56.28,-71.34,40.47,99.47,-128.27,24.01,8.88,1.82,1.18,129,12.7,0.015,0,0.318,0.645,0.247,0.34,0.34
2026-06-29T12:00:07,7,5103,boulder,-9.43,75.81,-12.6,77.43,97.09,-9.37,1.49,0.62,0.35,3,29.0,0.119,3.4,0.318,0.274,0.247,0.315,0.34
2026-06-29T12:00:08,8,5106,rover_track,-1.07,5.98,-1.81,6.34,100.17,-16.58,6.36,0.17,0.04,338,91.4,0.34,15.0,0.058,0.134,0.572,0.32,0.69
2026-06-29T12:00:08,8,5107,small_rock,22.64,11.71,6.97,26.43,27.35,15.3,0.34,0.07,0.33,4,101.4,0.404,24.9,0.058,0.426,0.253,0.303,0.43
2026-06-29T12:00:08,8,5110,small_rock,-110.38,94.95,45.36,152.5,139.3,17.3,0.28,0.32,0.16,18,0.1,0.017,5.1,0.058,0.474,0.262,0.141,0.35
2026-06-29T12:00:08,8,5123,unknown,2.07,-10.28,-0.19,10.49,-78.61,-1.06,2.88,2.31,0.32,1131,90.2,0.291,0.1,0.058,0.272,0.364,0.149,0.99
2026-06-29T12:00:08,8,5114,small_rock,-129.57,-46.06,-19.85,138.93,-160.43,-8.21,0.23,0.2,0.34,3,78.0,0.257,13.7,0.058,0.19,0.097,0.162,0.44
2026-06-29T12:00:08,8,5121,small_rock,46.06,-6.11,-2.5,46.53,-7.56,-3.08,0.37,0.07,0.26,3,18.1,0.159,4.3,0.058,0.473,0.383,0.184,0.37
2026-06-29T12:00:09,9,5104,lander_leg,-93.82,5.13,47.48,105.27,176.87,26.81,0.31,0.66,1.69,8,72.7,0.248,11.3,0.093,0.256,0.161,0.25,0.42
2026-06-29T12:00:09,9,5102,crater_floor,62.07,83.05,38.16,110.48,53.23,20.21,19.59,13.85,0.39,1872,76.5,0.302,5.8,0.093,0.639,0.433,0.221,0.99
2026-06-29T12:00:09,9,5112,crater_floor,37.25,35.18,-14.37,53.21,43.36,-15.67,22.81,4.99,0.03,2141,93.8,0.373,17.0,0.093,0.419,0.126,0.179,0.99
2026-06-29T12:00:09,9,5105,equipment,-9.03,-38.33,4.6,39.65,-103.26,6.66,1.55,1.35,0.49,57,129.7,0.441,0,0.093,0.4,0.224,0.109,0.47
2026-06-29T12:00:09,9,5117,regolith_mound,63.69,35.65,17.01,74.95,29.23,13.12,0.52,1.53,0.44,3,58.3,0.246,11.7,0.093,0.085,0.34,0.237,0.44
2026-06-29T12:00:09,9,5106,shadow_edge,-37.09,-111.61,-32.79,122.1,-108.38,-15.58,5.37,0.19,0.04,8,0,0,17.3,0.093,0.885,0.163,0.194,0.27
2026-06-29T12:00:09,9,5110,small_rock,-38.3,141.31,55.95,156.73,105.17,20.92,0.37,0.21,0.22,3,92.7,0.332,8.2,0.093,0.061,0.276,0.174,0.47
2026-06-29T12:00:09,9,5124,boulder,-87.78,15.95,59.2,107.07,169.7,33.57,1.32,1.61,0.62,3,99.9,0.413,18.1,0.093,0.265,0.335,0.477,0.45
2026-06-29T12:00:09,9,5109,small_rock,-113.42,-85.0,49.02,149.98,-143.15,19.08,0.1,0.29,0.18,3,47.0,0.198,0,0.093,0.229,0.211,0.085,0.41
2026-06-29T12:00:09,9,5107,small_rock,2.29,0.9,1.04,2.67,21.35,22.98,0.13,0.35,0.19,26,145.3,0.549,0,0.093,0.222,0.242,0.096,0.5
2026-06-29T12:00:09,9,5119,boulder,-1.75,-2.92,1.3,3.64,-120.92,20.98,3.76,1.6,0.81,4207,110.3,0.438,31.3,0.093,0.621,0.103,0.51,0.99
2026-06-29T12:00:10,10,5116,small_rock,-9.44,-50.26,27.68,58.15,-100.63,28.43,0.45,0.16,0.16,3,22.1,0.09,24.1,0.044,0.482,0.224,0.276,0.36
2026-06-29T12:00:10,10,5122,crater_floor,72.69,-119.68,44.95,147.06,-58.73,17.8,12.59,18.05,0.22,1098,14.1,0.066,8.0,0.044,0.17,0.559,0.272,0.99
2026-06-29T12:00:10,10,5110,shadow_edge,62.19,78.66,10.96,100.87,51.67,6.24,2.57,0.32,0.12,24,30.1,0.103,1.2,0.044,0.306,0.414,0.162,0.4
2026-06-29T12:00:10,10,5120,rover_track,-119.39,39.12,-8.53,125.92,161.86,-3.88,7.34,0.31,0.07,10,60.7,0.222,21.0,0.044,0.237,0.187,0.233,0.43
2026-06-29T12:00:10,10,5103,boulder,54.05,-85.24,-2.31,100.96,-57.62,-1.31,2.73,0.47,1.7,3,35.1,0.113,26.4,0.044,0.135,0.051,0.51,0.42
2026-06-29T12:00:10,10,5104,shadow_edge,69.22,-46.1,38.52,91.65,-33.66,24.85,2.68,0.97,0.12,3,12.7,0.022,12.1,0.044,0.446,0.225,0.18,0.35
2026-06-29T12:00:10,10,5107,regolith_mound,87.29,50.3,66.54,120.74,29.95,33.45,2.03,0.77,0.22,36,113.8,0.479,21.3,0.044,0.46,0.481,0.348,0.47
2026-06-29T12:00:10,10,5118,small_rock,-42.57,63.99,31.61,83.1,123.63,22.36,0.3,0.2,0.03,3,16.3,0.035,0,0.044,0.422,0.525,0.186,0.36
2026-06-29T12:00:10,10,5102,lander_leg,-5.28,8.01,1.71,9.75,123.37,10.08,0.31,0.42,1.13,16,74.4,0.252,11.6,0.044,0.622,0.166,0.219,0.38
2026-06-29T12:00:10,10,5108,boulder,-38.56,-32.08,-13.98,52.07,-140.24,-15.58,3.54,0.83,1.89,64,49.8,0.21,3.7,0.044,0.134,0.525,0.511,0.48
2026-06-29T12:00:10,10,5109,regolith_mound,-4.43,8.72,1.73,9.93,116.92,10.01,2.35,2.78,0.74,1200,85.8,0.373,0,0.044,0.373,0.126,0.091,0.99
2026-06-29T12:00:10,10,5115,crater_rim,22.14,5.03,6.06,23.5,12.8,14.94,10.41,4.93,0.35,2970,44.5,0.112,7.9,0.044,0.683,0.351,0.386,0.99
2026-06-29T12:00:11,11,5111,small_rock,88.31,-58.2,-2.29,105.79,-33.39,-1.24,0.48,0.22,0.12,10,64.4,0.251,24.7,0.227,0.625,0.085,0.229,0.34
2026-06-29T12:00:11,11,5107,crater_rim,-64.75,29.44,26.17,75.79,155.55,20.2,14.99,3.55,1.48,564,69.7,0.259,16.6,0.227,0.166,0.385,0.536,0.78
2026-06-29T12:00:11,11,5106,small_rock,-52.4,-126.24,44.7,143.81,-112.54,18.11,0.28,0.12,0.18,3,62.7,0.236,10.4,0.227,0.455,0.134,0.14,0.36
2026-06-29T12:00:11,11,5120,crater_floor,95.88,123.86,-21.41,158.09,52.26,-7.78,17.47,11.42,0.07,789,36.6,0.136,17.4,0.227,0.361,0.282,0.239,0.87
2026-06-29T12:00:11,11,5115,crater_rim,89.39,-65.29,-23.53,113.17,-36.14,-12.0,7.32,2.08,0.84,109,19.6,0.119,0,0.227,0.064,0.637,0.456,0.46
2026-06-29T12:00:11,11,5113,boulder,1.99,0.08,0.39,2.03,2.31,11.08,2.29,0.62,2.12,1986,130.1,0.565,21.6,0.227,0.189,0.164,0.538,0.99
2026-06-29T12:00:11,11,5112,shadow_edge,78.51,-120.37,1.35,143.71,-56.88,0.54,2.6,0.71,0.16,3,5.1,0.025,15.3,0.227,0.73,0.366,0.257,0.27
2026-06-29T12:00:12,12,5115,small_rock,-16.21,112.71,8.91,114.22,98.19,4.47,0.34,0.17,0.05,3,111.2,0.503,22.4,0.235,0.004,0.478,0.345,0.48
2026-06-29T12:00:12,12,5102,small_rock,52.09,-127.8,21.11,139.61,-67.83,8.7,0.16,0.3,0.1,3,30.5,0.086,15.0,0.235,0.468,0.267,0.217,0.32
2026-06-29T12:00:12,12,5118,boulder,-47.7,-9.39,12.33,50.16,-168.86,14.23,2.83,2.88,1.76,137,106.2,0.373,18.5,0.235,0.301,0.342,0.554,0.5
2026-06-29T12:00:12,12,5123,lander_leg,-52.4,24.21,2.63,57.78,155.21,2.61,0.54,0.61,2.97,3,61.3,0.232,13.3,0.235,0.445,0.634,0.511,0.35
2026-06-29T12:00:12,12,5125,rover_track,-2.01,69.04,40.98,80.31,91.67,30.68,8.38,0.26,0.02,14,43.8,0.145,11.7,0.235,0.114,0.456,0.252,0.39
2026-06-29T12:00:12,12,5108,unknown,-102.56,-56.72,25.45,119.93,-151.06,12.25,4.26,0.89,0.21,4,9.2,0.073,12.9,0.235,0.297,0.49,0.285,0.34
2026-06-29T12:00:12,12,5101,crater_floor,104.64,-44.64,-3.32,113.81,-23.1,-1.67,12.47,7.98,0.16,615,22.5,0.084,4.3,0.235,0.101,0.225,0.122,0.78
2026-06-29T12:00:12,12,5122,boulder,-74.3,-47.12,16.62,89.53,-147.62,10.7,3.32,2.18,2.06,34,6.0,0.024,29.4,0.235,0.335,0.621,0.755,0.35
2026-06-29T12:00:13,13,5108,small_rock,-51.26,-97.94,56.34,124.07,-117.62,27.01,0.31,0.15,0.13,26,0,0.031,8.8,0.031,0.36,0.399,0.217,0.38
2026-06-29T12:00:13,13,5118,lander_leg,78.84,-7.66,10.29,79.87,-5.55,7.4,0.31,0.64,1.17,8,96.6,0.431,17.0,0.031,0.498,0.54,0.394,0.44
2026-06-29T12:00:13,13,5107,shadow_edge,51.6,56.33,26.58,80.88,47.51,19.19,7.48,0.42,0.06,31,84.9,0.345,30.4,0.031,0.68,0.24,0.324,0.41
2026-06-29T12:00:13,13,5105,small_rock,4.23,142.17,32.45,145.89,88.3,12.85,0.41,0.3,0.31,6,88.0,0.328,9.5,0.031,0.115,0.216,0.169,0.47
2026-06-29T12:00:13,13,5121,unknown,-6.06,-3.16,1.19,6.93,-152.43,9.85,1.26,3.64,0.37,1413,111.9,0.451,37.2,0.031,0.829,0.154,0.367,0.99
2026-06-29T12:00:13,13,5114,shadow_edge,96.62,2.17,-27.78,100.56,1.28,-16.04,3.75,1.93,0.09,59,10.4,0.048,6.3,0.031,0.995,0.203,0.125,0.31
2026-06-29T12:00:13,13,5103,boulder,13.28,-20.49,16.46,29.44,-57.06,33.98,1.03,1.32,0.66,62,142.4,0.53,21.9,0.031,0.511,0.427,0.54,0.49
2026-06-29T12:00:13,13,5122,lander_leg,10.6,96.92,39.09,105.04,83.76,21.85,0.56,0.53,2.59,3,92.6,0.382,25.4,0.031,0.208,0.352,0.483,0.47
2026-06-29T12:00:13,13,5123,small_rock,-91.96,28.54,24.09,99.25,162.76,14.05,0.41,0.32,0.12,3,41.2,0.106,29.8,0.031,0.636,0.362,0.366,0.34
2026-06-29T12:00:14,14,5120,shadow_edge,-139.59,32.21,-19.06,144.52,167.01,-7.58,7.45,1.25,0.07,38,58.9,0.196,30.7,0.102,0.389,0.147,0.294,0.41
2026-06-29T12:00:14,14,5114,boulder,-38.35,107.03,-35.96,119.24,109.71,-17.55,3.05,2.26,1.52,3,0,0.008,24.7,0.102,0.692,0.398,0.607,0.3
2026-06-29T12:00:14,14,5108,regolith_mound,83.7,-97.86,-12.06,129.34,-49.46,-5.35,2.08,2.11,0.16,7,69.2,0.259,13.1,0.102,0.518,0.571,0.312,0.38
2026-06-29T12:00:14,14,5124,crater_rim,5.3,-44.62,28.61,53.27,-83.23,32.48,9.81,1.2,1.67,196,70.1,0.304,23.9,0.102,0.214,0.285,0.57,0.56
2026-06-29T12:00:14,14,5117,crater_rim,-124.49,85.52,18.5,152.16,145.51,6.98,6.95,3.85,1.61,128,59.6,0.295,15.2,0.102,0.239,0.412,0.543,0.51
2026-06-29T12:00:14,14,5113,small_rock,47.33,5.93,-10.5,48.85,7.14,-12.41,0.13,0.35,0.14,3,93.7,0.387,32.1,0.102,0.476,0.206,0.33,0.41
2026-06-29T12:00:14,14,5101,boulder,-3.48,-4.97,2.2,6.45,-125.02,19.95,0.98,1.92,1.96,601,94.6,0.401,0,0.102,0.165,0.709,0.551,0.86
2026-06-29T12:00:14,14,5123,shadow_edge,65.4,-10.36,45.48,80.33,-9.0,34.48,2.51,1.7,0.16,56,76.4,0.342,25.0,0.102,0.401,0.336,0.322,0.45
2026-06-29T12:00:15,15,5118,rover_track,112.83,-15.84,-26.13,116.89,-7.99,-12.92,1.02,0.69,0.01,9,26.0,0.135,17.3,0.149,0.074,0.325,0.249,0.41
2026-06-29T12:00:15,15,5114,crater_floor,-33.28,-68.2,52.26,92.15,-116.01,34.55,12.42,18.22,0.38,1967,18.3,0.022,12.2,0.149,0.301,0.328,0.234,0.99
2026-06-29T12:00:15,15,5110,small_rock,82.74,31.33,-9.77,89.01,20.74,-6.3,0.19,0.33,0.28,3,69.1,0.277,16.7,0.149,0.339,0.139,0.196,0.4
2026-06-29T12:00:15,15,5117,lander_leg,-1.24,11.24,0.66,11.33,96.27,3.36,0.69,0.48,3.0,58,124.2,0.518,21.4,0.149,0.084,0.158,0.409,0.53
2026-06-29T12:00:15,15,5119,small_rock,-13.32,5.65,-1.71,14.57,157.01,-6.74,0.39,0.26,0.15,14,71.4,0.28,41.9,0.149,0.452,0.271,0.43,0.39
2026-06-29T12:00:15,15,5124,small_rock,-0.28,0.87,0.59,1.09,107.72,33.13,0.21,0.33,0.15,244,93.9,0.412,0,0.149,0.104,0.328,0.124,0.62
2026-06-29T12:00:15,15,5115,shadow_edge,-7.31,-91.62,18.2,93.7,-94.56,11.2,1.82,0.44,0.18,5,68.6,0.286,16.6,0.149,0.449,0.714,0.39,0.39
2026-06-29T12:00:16,16,5118,crater_rim,12.19,47.28,19.15,52.45,75.54,21.41,16.15,2.0,2.01,602,126.8,0.538,15.3,0.08,0.238,0.474,0.59,0.89
2026-06-29T12:00:16,16,5119,lander_leg,33.04,-41.62,-11.26,54.32,-51.55,-11.96,0.75,0.35,1.01,3,42.1,0.091,18.5,0.08,0.289,0.265,0.299,0.38
2026-06-29T12:00:16,16,5115,shadow_edge,73.6,-16.08,19.94,77.93,-12.33,14.83,9.8,1.69,0.11,186,41.1,0.144,9.2,0.08,0.384,0.051,0.096,0.5
2026-06-29T12:00:16,16,5109,small_rock,97.89,-58.39,-17.23,115.28,-30.82,-8.6,0.27,0.19,0.14,3,16.8,0.028,28.9,0.08,0.489,0.643,0.459,0.34
2026-06-29T12:00:16,16,5110,small_rock,38.16,-81.17,-25.85,93.34,-64.82,-16.08,0.48,0.38,0.16,3,53.3,0.217,13.0,0.08,0.508,0.713,0.36,0.38
2026-06-29T12:00:16,16,5121,crater_floor,45.62,-123.66,5.47,131.92,-69.75,2.38,13.44,18.83,0.16,1412,70.5,0.256,22.8,0.08,0.176,0.253,0.276,0.99
2026-06-29T12:00:16,16,5106,boulder,-11.06,-49.64,-8.15,51.5,-102.56,-9.11,3.75,1.67,1.69,110,57.4,0.227,11.5,0.08,0.218,0.154,0.429,0.49
2026-06-29T12:00:16,16,5114,boulder,-79.96,-25.29,-12.94,84.85,-162.45,-8.77,1.45,0.46,2.08,3,147.2,0.557,30.1,0.08,0.795,0.32,0.656,0.41
2026-06-29T12:00:16,16,5107,equipment,-3.93,41.98,-7.47,42.82,95.35,-10.04,1.54,1.47,1.23,63,88.5,0.338,0,0.08,0.398,0.417,0.223,0.46
2026-06-29T12:00:16,16,5117,crater_floor,-64.26,-110.34,85.27,153.54,-120.22,33.73,5.98,14.83,0.03,405,59.8,0.271,0.6,0.08,0.023,0.871,0.311,0.73
2026-06-29T12:00:16,16,5116,small_rock,-57.44,-89.63,18.93,108.13,-122.66,10.08,0.36,0.4,0.17,3,30.6,0.157,19.4,0.08,0.127,0.132,0.208,0.42
2026-06-29T12:00:16,16,5105,boulder,-16.96,-53.8,25.29,61.82,-107.49,24.15,0.81,0.99,2.19,25,58.1,0.225,27.5,0.08,0.487,0.281,0.629,0.4
2026-06-29T12:00:17,17,5102,shadow_edge,92.54,-50.05,33.09,110.29,-28.41,17.46,1.01,0.85,0.07,6,25.3,0.111,0,0.153,0.644,0.214,0.079,0.32
2026-06-29T12:00:17,17,5121,unknown,-9.18,-36.65,6.16,38.29,-104.06,9.26,0.49,0.63,1.09,4,56.1,0.253,18.6,0.153,0.243,0.432,0.364,0.41
